餐廳名稱,餐廳連結
柳州螺螄粉,https://ifoodie.tw/restaurant/62d5b304873d790c01e402ce-%E6%9F%B3%E5%B7%9E%E8%9E%BA%E8%9E%84%E7%B2%89
MKCR 山小孩咖啡,https://ifoodie.tw/restaurant/5b0069b62756dd43a52f15ee-MKCR-%E5%B1%B1%E5%B0%8F%E5%AD%A9%E5%92%96%E5%95%A1
uPoke 夏威夷生魚飯 水源門市,https://ifoodie.tw/restaurant/62256c5fa627280f927b8740-uPoke-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%94%9F%E9%AD%9A%E9%A3%AF-%E6%B0%B4%E6%BA%90%E9%96%80%E5%B8%82
肉多多火鍋 台北重慶南店,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97
魅麗海 中庭餐廳 (德立莊店),https://ifoodie.tw/restaurant/5ba47a24f524687dc59c416f-%E9%AD%85%E9%BA%97%E6%B5%B7-%E4%B8%AD%E5%BA%AD%E9%A4%90%E5%BB%B3-(%E5%BE%B7%E7%AB%8B%E8%8E%8A%E5%BA%97)
三統漢菓子 台北車站店,https://ifoodie.tw/restaurant/62d5418582828724b3ab2959-%E4%B8%89%E7%B5%B1%E6%BC%A2%E8%8F%93%E5%AD%90-%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E5%BA%97
青島飯團,https://ifoodie.tw/restaurant/55a53054c03a10241de64ff2-%E9%9D%92%E5%B3%B6%E9%A3%AF%E5%9C%98
太陽蕃茄拉麵,https://ifoodie.tw/restaurant/559d3c6fc03a103ee86c54d1-%E5%A4%AA%E9%99%BD%E8%95%83%E8%8C%84%E6%8B%89%E9%BA%B5
上海鄉村餐廳 濟南店,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
林家乾麵店,https://ifoodie.tw/restaurant/559db84cc03a103ee86c9f06-%E6%9E%97%E5%AE%B6%E4%B9%BE%E9%BA%B5%E5%BA%97
鐘予原味當歸鴨 公館店,https://ifoodie.tw/restaurant/61dd2292baf6d30524a2ac37-%E9%90%98%E4%BA%88%E5%8E%9F%E5%91%B3%E7%95%B6%E6%AD%B8%E9%B4%A8-%E5%85%AC%E9%A4%A8%E5%BA%97
BAC Cake & Sweets,https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets
曉迪筒仔米糕,https://ifoodie.tw/restaurant/58f3b20b2756dd059715f6ec-%E6%9B%89%E8%BF%AA%E7%AD%92%E4%BB%94%E7%B1%B3%E7%B3%95
壹森泰食堂~師大第一腿(公館店）,https://ifoodie.tw/restaurant/62a5adae873d792cec9bc0a1-%E5%A3%B9%E6%A3%AE%E6%B3%B0%E9%A3%9F%E5%A0%82~%E5%B8%AB%E5%A4%A7%E7%AC%AC%E4%B8%80%E8%85%BF(%E5%85%AC%E9%A4%A8%E5%BA%97%EF%BC%89
文慶雞,https://ifoodie.tw/restaurant/559de375c03a103ee86cbb3a-%E6%96%87%E6%85%B6%E9%9B%9E
何家甜品鋪-剉冰雪花冰(公館汀州),https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E)
油条 黃金牛肉粉,https://ifoodie.tw/restaurant/5c6a1b33f524681eee331c3f-%E6%B2%B9%E6%9D%A1-%E9%BB%83%E9%87%91%E7%89%9B%E8%82%89%E7%B2%89
三味香,https://ifoodie.tw/restaurant/559db4acc03a103ee86c9db8-%E4%B8%89%E5%91%B3%E9%A6%99
廣州餐廳,https://ifoodie.tw/restaurant/62a327d9baf6d342301c7f50-%E5%BB%A3%E5%B7%9E%E9%A4%90%E5%BB%B3
777咖啡,https://ifoodie.tw/restaurant/5c20a7a9f5246825ec6d8dbe-777%E5%92%96%E5%95%A1
COFFEE TO (國家攝影文化中心門市),https://ifoodie.tw/restaurant/6194be527cc7fc5d00f4a597-COFFEE-TO-(%E5%9C%8B%E5%AE%B6%E6%94%9D%E5%BD%B1%E6%96%87%E5%8C%96%E4%B8%AD%E5%BF%83%E9%96%80
焦糖楓漢方無烟撒粉串燒 同安店,https://ifoodie.tw/restaurant/5e3251618c906d5297beb578-%E7%84%A6%E7%B3%96%E6%A5%93%E6%BC%A2%E6%96%B9%E7%84%A1%E7%83%9F%E6%92%92%E7%B2%89%E4%B8%B2%E7%87%92-%E5%90%8C%E5%AE%89%E5%BA%97
ponopono,https://ifoodie.tw/restaurant/61b74a237cc7fc14993bb45b-ponopono
93番茄牛肉麵,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
桃山 Momoyama,https://ifoodie.tw/restaurant/5cc85a492756dd37839382f5-%E6%A1%83%E5%B1%B1-Momoyama
忠青商行,https://ifoodie.tw/restaurant/5e844e4a2261392093b21823-%E5%BF%A0%E9%9D%92%E5%95%86%E8%A1%8C
人性甜點,https://ifoodie.tw/restaurant/5e7b691f2756dd7a65543cb1-%E4%BA%BA%E6%80%A7%E7%94%9C%E9%BB%9E
請客樓 (喜來登大飯店),https://ifoodie.tw/restaurant/559d4bc4c03a103ee86c5ebd-%E8%AB%8B%E5%AE%A2%E6%A8%93-(%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97)
東北之家酸菜白肉鍋 青島店,https://ifoodie.tw/restaurant/59ef81312756dd291ac661a3-%E6%9D%B1%E5%8C%97%E4%B9%8B%E5%AE%B6%E9%85%B8%E8%8F%9C%E7%99%BD%E8%82%89%E9%8D%8B-%E9%9D%92%E5%B3%B6%E5%BA%97
YumYum 好吃好吃2號店,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97