store_name,create_time,phone_number,address,total_score,business_hour,distance,latitude_longitude,url,is_appointed_store,is_unknown_store
小魏川菜餐廳,2022-09-24 23:34:47,0223718427,臺北市中正區公園路13號3樓,4.1,"6:11001400,6:17002100,7:11001400,7:17002100,2:11001400,2:17002100,3:11001400,3:17002100,4:11001400,4:17002100,5:11001400,5:17002100",,,https://ifoodie.tw/restaurant/55a530a8c03a10241de65010-%E5%B0%8F%E9%AD%8F%E5%B7%9D%E8%8F%9C%E9%A4%90%E5%BB%B3,0,0
農人餐桌 親子餐廳,2022-09-24 23:34:52,0223223716,台北市重慶南路二段51號,4.1,"6:11002030,7:11002030,1:11001500,2:11001500,3:11001500,4:11001500,5:11001500",,,https://ifoodie.tw/restaurant/56f188c72756dd2c2bf09942-%E8%BE%B2%E4%BA%BA%E9%A4%90%E6%A1%8C-%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3,0,0
台大胖妞冰店,2022-09-24 23:35:08,0933912818,臺北市中正區林森南路。徐州路18巷口,4.4,"6:12001900,1:12001900,2:12001900,3:12001900,4:12001900,5:12001900",,,https://ifoodie.tw/restaurant/63247a047cc7fc29b4ded441-%E5%8F%B0%E5%A4%A7%E8%83%96%E5%A6%9E%E5%86%B0%E5%BA%97,0,0
大三元豆漿店,2022-09-24 23:35:12,0223033089,臺北市中正區寧波西街233號,4.1,"6:06001130,7:06001130,2:06001130,3:06001130,4:06001130,5:06001130",,,https://ifoodie.tw/restaurant/559da095c03a103ee86c9259-%E5%A4%A7%E4%B8%89%E5%85%83%E8%B1%86%E6%BC%BF%E5%BA%97,0,0
福丸早餐,2022-09-24 23:35:17,0223910166,臺北市中正區杭州南路一段131巷35之1號1樓,4.4,"6:09001600,7:09001600,1:09001600,4:09001600,5:09001600",,,https://ifoodie.tw/restaurant/5e1342862756dd0e3c6eb05d-%E7%A6%8F%E4%B8%B8%E6%97%A9%E9%A4%90,0,0
YumYum 好吃好吃2號店,2022-09-24 23:35:21,0223629538,臺北市中正區羅斯福路三段316巷16號2樓,3.9,"6:11301500,6:17002100,7:11301500,7:17002100,1:18002100,2:11301400,2:17302100,3:11301400,3:17302100,4:11301400,4:17302100,5:11301400,5:17302100",,,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97,0,0
泰讚了 thai like tea 公館店,2022-09-24 23:35:35,0989777696,臺北市中正區羅斯福路三段286巷18號,4.5,"6:00000100,6:09300000,7:09300000,7:00000100,1:00000100,1:09300000,2:00000100,2:09300000,3:00000100,3:09300000,4:00000100,4:09300000,5:00000100,5:09300000",,,https://ifoodie.tw/restaurant/632328a07cc7fc29b3e9fdde-%E6%B3%B0%E8%AE%9A%E4%BA%86-thai-like-tea-%E5%85%AC%E9%A4%A8,0,0
阿春涼麵,2022-09-24 23:35:43,0223013417,臺北市中正區中華路二段401號,4.2,"6:07001300,7:07001300,1:07001300,3:07001300,4:07001300,5:07001300",,,https://ifoodie.tw/restaurant/592b11232756dd474fdd59af-%E9%98%BF%E6%98%A5%E6%B6%BC%E9%BA%B5,0,0
新東南海鮮餐廳,2022-09-24 23:35:48,0223014239,臺北市中正區汀州路一段105號,4.3,"6:11301400,6:17002130,7:11301400,7:17002130,1:11301400,1:17002130,2:11301400,2:17002130,3:11301400,3:17002130,4:11301400,4:17002130,5:11301400,5:17002130",,,https://ifoodie.tw/restaurant/559d7dedc03a103ee86c7fce-%E6%96%B0%E6%9D%B1%E5%8D%97%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3,0,0
藍家割包,2022-09-24 23:35:59,0223682060,臺北市中正區羅斯福路三段316巷8弄3號,3.9,"6:11002300,7:11002300,2:11002300,3:11002300,4:11002300,5:11002300",,,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85,0,0
Coppii Lumii living coffee 冉冉生活 城中,2022-09-24 23:36:04,0223818613,臺北市中正區永綏街7號,4.2,"6:09001800,7:09001800,1:09001800,2:09001800,3:09001800,4:09001800,5:09001800",,,https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-,0,0
台北喜來登大飯店,2022-09-24 23:36:09,0223215511,臺北市中正區忠孝東路一段12號,4.3,"6:00002359,7:00002359,1:00002359,2:00002359,3:00002359,4:00002359,5:00002359",,,https://ifoodie.tw/restaurant/62add20b7cc7fc525f4bfbf7-%E5%8F%B0%E5%8C%97%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97,0,0
上海鄉村餐廳 濟南店,2022-09-24 23:36:16,0223223333,臺北市中正區濟南路二段37號,4.4,"6:11301400,6:17302100,7:11301400,7:17302100,1:11301400,1:17302100,2:11301400,2:17302100,3:11301400,3:17302100,4:11301400,4:17302100,5:11301400,5:17302100",,,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97,0,0
阿玉白糖粿,2022-09-24 23:36:21,999,臺北市中正區新生南路一段12巷9弄5號,4.5,"6:13002030,7:13002030,1:13002030,2:13002030,4:13002030,5:13002030",,,https://ifoodie.tw/restaurant/632086167cc7fc29b3e443c8-%E9%98%BF%E7%8E%89%E7%99%BD%E7%B3%96%E7%B2%BF,0,0
焦糖楓漢方無烟撒粉串燒 同安店,2022-09-24 23:36:26,0966782518,臺北市中正區同安街38號,4.5,"6:00000030,6:15300000,7:15300000,7:00000030,1:00000030,1:16300000,2:00000030,2:16300000,3:00000030,3:16300000,4:00000030,4:16300000,5:00000030,5:15300000",,,https://ifoodie.tw/restaurant/5e3251618c906d5297beb578-%E7%84%A6%E7%B3%96%E6%A5%93%E6%BC%A2%E6%96%B9%E7%84%A1%E7%83%9F%E6%92%92%E7%B2%89%E4%B8%B2%E7%87%92-%E5%90%8C%E5%AE%89%E5%BA%97,0,0
